site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
MIC,08/15/19 12:07,0.40483,-0.2,6.1866,2.5203,2.676,0.55329,1.7406
MIC,08/19/19 13:13,-0.2,2.5911,3.8719,0.21024,0.59112,0.75461,1.3329
MIC,08/23/19 11:15,0.85071,1.5859,0.48212,0.035111,2.8061,2.2141,1.2247
MIC,08/24/19 07:09,0.30498,1.5924,0.31529,-0.033167,0.14154,0.064403,1.5274
MIC,08/26/19 09:21,NA,NA,NA,NA,NA,NA,NA
MIC,09/03/2019 09:23,-0.17369,1.1342,1.0119,0.42499,1.8812,1.7717,1.0924
MIC,09/06/2019 11:46,NA,NA,NA,NA,NA,NA,NA
MIC,09/08/2019 08:05,-0.2,0.28628,0.71932,0.75604,7.0347,4.4727,0.88098
MIC,09/11/2019 10:05,NA,NA,NA,NA,NA,NA,NA
MIC,09/14/19 04:10,0.2389,1.4851,1.0174,0.30246,0.90653,-0.032838,1.1883
MIC,09/16/19 06:57,NA,NA,NA,NA,NA,NA,NA
MIC,09/23/19 12:14,0.042667,0.75226,2.0334,4.5692,1.457,-0.2,1.0803
MIC,09/26/19 13:27,1.3156,0.17732,2.0725,1.2793,-0.15083,1.3011,1.7449
MIC,10/01/2019 09:37,0.89234,6.5149,1.7783,0.1806,2.0049,1.7097,0.90219
MIC,10/04/2019 06:33,NA,NA,NA,NA,NA,NA,NA
MIC,10/06/2019 09:30,0.3963,-0.12568,0.95292,0.042218,0.10055,0.80841,0.5831
MIC,10/09/2019 10:12,1.2171,0.8903,2.2127,0.79431,0.89484,0.8427,0.41508
MIC,10/15/19 09:22,0.61096,0.2626,1.4296,1.116,-0.17563,0.37113,0.80854
MIC,10/18/19 05:05,NA,NA,NA,NA,NA,NA,NA
MIC,10/20/19 05:37,-0.050091,3.8611,2.2032,3.6742,1.3359,0.21058,0.62388
MIC,10/23/19 09:26,1.5009,1.5919,2.1861,0.068536,0.49639,1.0393,0.92862
MIC,10/26/19 07:58,0.64084,1.3683,0.66182,0.4659,1.0704,2.7845,0.21474
MIC,10/31/19 09:08,2.4991,2.5137,1.448,1.4183,-0.098882,0.94224,0.4226
MIC,11/05/2019 09:30,NA,NA,NA,NA,NA,NA,NA
MIC,11/08/2019 08:07,0.9759,1.0162,0.16365,0.4167,1.953,0.52769,0.87539
MIC,11/10/2019 07:09,0.049678,1.0631,0.49867,0.19734,0.53208,0.041843,0.43484
MIC,11/14/19 08:59,1.1704,0.55436,0.059936,0.94562,0.70063,0.43032,0.99171
MIC,11/15/19 09:30,NA,NA,NA,NA,NA,NA,NA
MIC,11/17/19 08:39,1.3532,1.4685,0.39557,-0.0052166,1.7042,0.4773,1.4372
MIC,11/20/19 04:51,0.93276,0.94229,1.0212,0.24242,0.972,0.51249,0.62562
MIC,11/24/19 09:20,0.26464,1.6986,1.6956,1.5814,0.90828,0.10374,1.2362
MIC,11/28/19 09:40,1.6044,1.8449,2.0266,3.1527,-0.15612,-0.03457,0.49081
MIC,12/02/2019 08:15,1.4688,2.1949,2.0811,2.6599,0.92114,-0.10797,0.21114
MIC,12/05/2019 10:00,0.59164,1.5707,0.35886,0.99495,4.4133,2.0351,1.2883
MIC,12/07/2019 05:56,NA,NA,NA,NA,NA,NA,NA
MIC,12/12/2019 10:57,1.4621,3.4423,0.55039,0.5254,0.51048,1.7093,1.2395
MIC,12/14/19 12:27,NA,NA,NA,NA,NA,NA,NA
MIC,12/16/19 14:01,0.36361,0.27438,-0.065546,-0.034568,0.035168,0.34133,0.84863
MIC,12/24/19 12:03,0.75174,1.6416,0.19081,0.045081,-0.046837,1.2764,0.36699
MIC,12/27/19 09:55,0.28029,-0.2,1.9507,1.7095,-0.2,0.45296,-0.059529
MIC,12/30/19 07:25,1.3933,1.5667,1.1307,1.1352,-0.17391,0.76487,0.4277
MIC,01/01/2020 06:31,0.45519,0.26545,1.5041,0.025607,-0.09237,1.5827,0.45255
MIC,01/05/2020 06:15,NA,NA,NA,NA,NA,NA,NA
MIC,01/08/2020 13:06,0.88076,0.82982,0.098532,0.71656,1.2716,4.5182,0.57259
MIC,01/13/20 12:22,0.84215,0.93325,0.50864,0.019409,1.4908,0.32179,1.6651
MIC,01/15/20 14:30,1.4506,1.4915,-0.019213,1.6886,0.98548,1.5533,1.5466
MIC,01/18/20 04:16,0.61428,1.4093,-0.009811,1.0323,1.2737,0.74028,0.76182
MIC,01/23/20 11:29,0.44977,-0.1215,0.16883,0.58649,-0.1296,0.28024,0.48762
MIC,01/29/20 06:37,-0.15572,0.9191,1.9844,-0.026664,2.121,1.9396,1.4303
MIC,01/31/20 12:21,0.57397,1.2896,-0.01314,0.31388,-0.023763,2.4908,0.56727
MIC,02/06/2020 05:23,0.6842,0.57149,0.76777,1.7282,1.4658,-0.12685,1.2659
MIC,02/07/2020 05:51,0.40893,0.30814,1.6461,2.3684,1.0759,0.24501,0.1764
MIC,02/10/2020 10:16,1.4423,0.88438,1.0741,3.675,0.85506,0.29045,0.82113
MIC,02/14/20 06:58,2.4058,0.7956,3.8265,2.6239,2.1906,-0.031136,0.47674
MIC,02/15/20 04:35,1.9725,1.7942,0.27895,0.064017,0.64182,0.23273,0.65111
MIC,02/16/20 06:48,NA,NA,NA,NA,NA,NA,NA
MIC,02/23/20 07:35,1.4958,1.4779,2.5274,1.3689,0.63227,0.038069,0.38534
MIC,02/28/20 10:04,2.1013,1.2456,1.3828,1.5195,0.75749,0.10528,0.41484
MIC,03/01/2020 07:04,NA,NA,NA,NA,NA,NA,NA
MIC,03/03/2020 11:00,0.55967,0.62561,1.3352,1.1797,0.68039,-0.045262,0.59096
MIC,03/08/2020 08:54,1.5703,1.802,3.4575,2.5657,-0.070566,0.0042152,0.85634
MIC,03/09/2020 07:20,2.6792,1.8917,0.41485,0.091903,0.44533,0.039772,1.1901
