site,date,factor,BC,Al,Si,Pb,Fe,Ti,Mn,Pt,Br,Zn,cloreto,nitrato,sulfato,sodio,amonio,potassio,magnesio,calcio
MIC,2019-04-07T11:25:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-04-12T10:43:00Z,Factor.1,0.178628294,0.052503670700000005,0.09614625279999998,0.00271533561,0.0754838461,0.005171960949999999,0.00451254154,0.0365157052,NA,5.76853576e-6,0.00861764059,0,0,0,0.010753309579999999,0.016632870799999998,3.98704098e-4,0.0237298217
MIC,2019-04-15T12:06:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-04-16T12:24:00Z,Factor.1,0.0967551024,0.02843893272,0.052078202879999994,0.001470778056,0.04088628456,0.00280142412,0.0024442455839999997,0.019778953919999998,NA,3.124562496e-6,0.004667797464,0,0,0,0.005824595568,0.00900929568,2.1596050079999998e-4,0.01285340232
MIC,2019-04-20T10:43:00Z,Factor.1,0.1134515892,0.03334648026,0.061065047039999994,0.001724581998,0.04794180198,0.0032848502099999998,0.0028660353719999997,0.023192097359999997,NA,3.6637507679999997e-6,0.005473293162,0,0,0,0.006829713443999999,0.01056397944,2.532275964e-4,0.01507144206
MIC,2019-04-24T11:55:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-04-27T08:32:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-04-29T09:35:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-05T07:11:00Z,Factor.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,2019-05-06T12:03:00Z,Factor.1,0.0755054624,0.022193090720000003,0.04064063488,0.001147761456,0.03190671856,0.00218616712,0.001907433184,0.01543504192,NA,2.438336896e-6,0.0036426420640000004,0,0,0,0.004545380768,0.00703064768,1.6853062080000002e-4,0.010030500320000002
