site,date,Factor.1,Factor.2,Factor.3,Factor.4,Factor.5,Factor.6,Factor.7
MIC,2019-06-02T13:06:00Z,0.44685,0.31078,0.94422,0.15303,-0.10506,0.30874,0.91946
MIC,2019-06-04T13:02:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-09T08:13:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-13T11:59:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-15T12:32:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-17T11:45:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-06-27T11:40:00Z,0.7588,-0.2,3.5656,3.0025,1.4708,1.6939,1.4611
MIC,2019-06-28T14:00:00Z,0.44479,0.50929,0.6134,0.43702,0.96939,1.8365,1.0626
MIC,2019-06-29T11:52:00Z,0.63545,0.20295,-0.2,-0.2,8.3948,3.1353,3.8786
MIC,2019-07-04T08:08:00Z,1.1366,0.80546,0.31248,1.4769,1.3302,2.226,2.0715
MIC,2019-07-06T10:15:00Z,3.2955,-0.11074,1.1112,3.0825,1.1814,0.13463,2.0898
MIC,2019-07-11T12:02:00Z,3.2761,0.4068,0.89395,2.4969,8.7587,0.29688,7.6745
MIC,2019-07-14T10:02:00Z,0.91755,0.42739,2.4644,0.11674,1.684,4.7984,0.75374
MIC,2019-07-18T16:47:00Z,0.44459,0.091494,2.5847,5.1586,3.5289,-0.096965,1.0939
MIC,2019-07-20T16:48:00Z,0.54755,1.7656,0.84864,-0.12202,1.1398,4.229,2.7225
MIC,2019-07-23T16:38:00Z,NA,NA,NA,NA,NA,NA,NA
MIC,2019-07-28T07:13:00Z,0.67462,0.3358,0.86069,0.64107,0.50761,3.0551,0.74615
MIC,2019-07-30T15:45:00Z,1.2177,1.0322,-0.2,-0.19999,0.75613,3.2129,2.8238
MIC,2019-08-03T09:41:00Z,1.0506,0.1163,0.62811,-0.036587,-0.02053,0.22835,1.899
