Strata,Outcome,Group,Source,Model,Moving Average,Controls(n),Cases(n),Odds Ratio,Lower 95%CI,Upper 95%CI,% increase,% increase Lower 95%CI,% increase Upper 95%CI,AIC,BIC
site_DOW_MONTH_Year,Respiratory,All,Secondary nitrate,Primary model,2-day moving average,2590,864,1.0200190309759918,0.9632620240451271,1.0767760379068565,2.001903097599178,-3.6737975954872937,7.67760379068565,1074.7594240990543,1108.0904334806826
site_DOW_MONTH_Year,Respiratory,All,Fresh sea salt mixed with aged emissions,Primary model,2-day moving average,2582,872,1.1899937611600258,1.1218756453315384,1.2581118769885131,18.999376116002576,12.18756453315384,25.811187698851313,1471.8585238137512,1505.254049781114
site_DOW_MONTH_Year,Respiratory,All,Industrial emissions,Primary model,2-day moving average,2540,914,1.2733304384893118,1.197857428956257,1.3488034480223667,27.333043848931183,19.785742895625692,34.88034480223667,1057.0944947299506,1090.8193087301297
site_DOW_MONTH_Year,Respiratory,All,Secondary sulfate,Primary model,2-day moving average,2562,892,1.4268823767087175,1.3473132737058118,1.5064514797116233,42.68823767087176,34.73132737058118,50.64514797116233,1098.6060679094735,1132.1603308375336
site_DOW_MONTH_Year,Respiratory,All,"Combustion of biomass, coal and fossil fuels",Primary model,2-day moving average,2589,865,0.9661564698753135,0.917319198261523,1.014993741489104,-3.384353012468655,-8.268080173847704,1.499374148910393,1110.1444902113556,1143.4835967598788
site_DOW_MONTH_Year,Respiratory,Female,Mineral dust and soil ressuspension,Sensitivity model,2-day moving average,1162,394,1.1844106413767053,1.0993660372690357,1.2694552454843748,18.441064137670526,9.93660372690357,26.945524548437483,497.21257831340574,525.0470346784913
site_DOW_MONTH_Year,Respiratory,Female,Aged sea salt,Sensitivity model,2-day moving average,1156,400,1.0226174408524462,0.8335519376319936,1.211682944072899,2.2617440852446213,-16.644806236800637,21.16829440728989,344.7531438781432,372.69339570789907
site_DOW_MONTH_Year,Respiratory,Female,Secondary nitrate,Sensitivity model,2-day moving average,1157,399,0.9642675080023481,0.8772185493237264,1.0513164666809696,-3.573249199765194,-12.278145067627355,5.131646668096956,444.0550897536793,471.9778196719083
site_DOW_MONTH_Year,Respiratory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,2-day moving average,1152,404,1.3206133573178767,1.2042465841015162,1.4369801305342371,32.061335731787665,20.42465841015162,43.698013053423715,569.5091950210183,597.5190991667463
site_DOW_MONTH_Year,Respiratory,Female,Industrial emissions,Sensitivity model,2-day moving average,1162,394,1.4008998845544924,1.2712534149150676,1.5305463541939173,40.089988455449244,27.12534149150676,53.05463541939173,395.3576597770005,423.19211614208604
site_DOW_MONTH_Year,Respiratory,Female,Secondary sulfate,Sensitivity model,2-day moving average,1160,396,1.3924369991416354,1.2841176444975655,1.5007563537857054,39.24369991416354,28.41176444975655,50.07563537857054,464.9345746157622,492.80447409454354
site_DOW_MONTH_Year,Respiratory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,2-day moving average,1161,395,0.9359831394593457,0.8645939109202536,1.0073723679984379,-6.401686054065426,-13.540608907974638,0.7372367998437879,401.9816491003577,429.83384945466554
site_DOW_MONTH_Year,Respiratory,Male,Mineral dust and soil ressuspension,Sensitivity model,2-day moving average,1412,486,1.2726822862152896,1.1845918507475102,1.360772721683069,27.268228621528955,18.459185074751016,36.0772721683069,608.5198881189749,637.8233484862784
site_DOW_MONTH_Year,Respiratory,Male,Aged sea salt,Sensitivity model,2-day moving average,1416,482,1.1598582421347445,0.9740758478080267,1.3456406364614624,15.985824213474453,-2.5924152191973304,34.56406364614624,323.9710146996027,353.2166234979569
site_DOW_MONTH_Year,Respiratory,Male,Secondary nitrate,Sensitivity model,2-day moving average,1419,479,1.0470233176175296,0.9693707331705533,1.1246759020645059,4.702331761752965,-3.0629266829446666,12.467590206450584,522.3416010200044,551.5435052018807
site_DOW_MONTH_Year,Respiratory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,2-day moving average,1420,478,1.0929367296090897,1.0079941082567643,1.1778793509614152,9.293672960908971,0.7994108256764276,17.787935096141517,736.2189591073342,765.4062342347744
site_DOW_MONTH_Year,Respiratory,Male,Industrial emissions,Sensitivity model,2-day moving average,1403,495,1.1699952394826254,1.0768551723306528,1.263135306634598,16.999523948262542,7.6855172330652755,26.313530663459805,529.5955052088834,559.0274095468643
site_DOW_MONTH_Year,Respiratory,Male,Secondary sulfate,Sensitivity model,2-day moving average,1422,476,1.2849283610393332,1.1780424399105125,1.3918142821681538,28.492836103933318,17.80424399105125,39.181428216815384,525.6905488175616,554.8484737971816
site_DOW_MONTH_Year,Respiratory,Male,"Combustion of biomass, coal and fossil fuels",Sensitivity model,2-day moving average,1413,485,1.024508165698818,0.9532009046586265,1.0958154267390094,2.4508165698817974,-4.67990953413735,9.581542673900945,634.8455534387415,664.1345956753039
site_DOW_MONTH_Year,Circulatory,All,Mineral dust and soil ressuspension,Primary model,2-day moving average,3907,1345,1.2364363959724494,1.1858896342573058,1.286983157687593,23.643639597244935,18.588963425730576,28.698315768759297,1822.4911138843602,1858.9201589286117
site_DOW_MONTH_Year,Circulatory,All,Aged sea salt,Primary model,2-day moving average,3925,1327,1.2730548368346761,1.144237737471559,1.4018719361977932,27.305483683467614,14.42377374715591,40.187193619779315,966.7475613820993,1003.0822936224248
site_DOW_MONTH_Year,Circulatory,All,Secondary nitrate,Primary model,2-day moving average,3927,1325,0.9882804619089116,0.9388110976617732,1.03774982615605,-1.1719538091088388,-6.1188902338226825,3.774982615605005,1872.211441785172,1908.5356159541143
site_DOW_MONTH_Year,Circulatory,All,Fresh sea salt mixed with aged emissions,Primary model,2-day moving average,3916,1336,1.1055802434134905,1.0478747550267382,1.1632857318002428,10.558024341349048,4.787475502673821,16.328573180024275,2433.9724730511703,2470.3545205298465
site_DOW_MONTH_Year,Circulatory,All,Industrial emissions,Primary model,2-day moving average,3889,1363,1.4660221815518546,1.393921378987283,1.5381229841164261,46.60221815518546,39.39213789872831,53.812298411642615,1539.3621678080885,1575.8842718299643
site_DOW_MONTH_Year,Circulatory,All,Secondary sulfate,Primary model,2-day moving average,3924,1328,1.4134595834029668,1.3479994052218174,1.4789197615841163,41.34595834029668,34.799940522181736,47.89197615841163,1796.0273692937108,1832.3673746039653
site_DOW_MONTH_Year,Circulatory,All,"Combustion of biomass, coal and fossil fuels",Primary model,2-day moving average,3914,1338,1.0544345672539386,1.0097877198774996,1.0990814146303776,5.443456725393858,0.9787719877499601,9.908141463037756,1716.0165239196579,1752.409042604475
site_DOW_MONTH_Year,Circulatory,Female,Mineral dust and soil ressuspension,Sensitivity model,2-day moving average,1751,587,1.2172150294221118,1.1347430631230746,1.299686995721149,21.72150294221118,13.47430631230746,29.9686995721149,733.3213424697229,763.9465162085196
site_DOW_MONTH_Year,Circulatory,Female,Aged sea salt,Sensitivity model,2-day moving average,1729,609,1.2864316174111123,1.0952682548417867,1.477594979980438,28.643161741111236,9.52682548417867,47.7594979980438,389.2719133691719,420.15464124314116
site_DOW_MONTH_Year,Circulatory,Female,Secondary nitrate,Sensitivity model,2-day moving average,1751,587,1.0292793365344617,0.9507695568280363,1.107789116240887,2.9279336534461686,-4.923044317196368,10.778911624088705,786.5907134238713,817.215887162668
site_DOW_MONTH_Year,Circulatory,Female,Fresh sea salt mixed with aged emissions,Sensitivity model,2-day moving average,1752,586,1.0552881795918607,0.9657775044936985,1.144798854690023,5.528817959186072,-3.422249550630152,14.479885469002296,995.9378720397582,1026.5511105667972
site_DOW_MONTH_Year,Circulatory,Female,Industrial emissions,Sensitivity model,2-day moving average,1729,609,1.5042091208470192,1.3744161198289695,1.6340021218650689,50.42091208470192,37.44161198289695,63.40021218650689,636.4607987748384,667.3435266488077
site_DOW_MONTH_Year,Circulatory,Female,Secondary sulfate,Sensitivity model,2-day moving average,1750,588,1.2708248105357625,1.1906830887657072,1.3509665323058178,27.082481053576245,19.06830887657072,35.09665323058178,769.4412931929714,800.0783818282619
site_DOW_MONTH_Year,Circulatory,Female,"Combustion of biomass, coal and fossil fuels",Sensitivity model,2-day moving average,1744,594,1.1022555167860335,1.0218924603690815,1.1826185732029855,10.22555167860335,2.1892460369081546,18.261857320298546,755.6052924164122,786.3134476519507
site_DOW_MONTH_Year,Circulatory,Male,Mineral dust and soil ressuspension,Sensitivity model,2-day moving average,2184,730,1.448668896293048,1.3619124662738806,1.5354253263122155,44.86688962930481,36.19124662738806,53.54253263122155,730.3281905543313,762.4795022933283
site_DOW_MONTH_Year,Circulatory,Male,Aged sea salt,Sensitivity model,2-day moving average,2170,744,1.0331231485134174,0.8859316918619331,1.1803146051649016,3.3123148513417355,-11.406830813806689,18.03146051649016,524.0760108973764,556.360298141208
site_DOW_MONTH_Year,Circulatory,Male,Secondary nitrate,Sensitivity model,2-day moving average,2185,729,0.9293674751521335,0.8615598635728657,0.9971750867314012,-7.063252484786653,-13.844013642713426,-0.28249132685987943,852.7692288138744,884.910944937935
site_DOW_MONTH_Year,Circulatory,Male,Fresh sea salt mixed with aged emissions,Sensitivity model,2-day moving average,2178,736,1.13840383941066,1.0633646140124628,1.213443064808857,13.840383941065992,6.336461401246285,21.3443064808857,1264.7685251999594,1296.9771360310615
site_DOW_MONTH_Year,Circulatory,Male,Industrial emissions,Sensitivity model,2-day moving average,2165,749,1.4384118289693861,1.3423479735710384,1.5344756843677338,43.84118289693861,34.234797357103844,53.44756843677339,783.5513743334243,815.8825472180448
site_DOW_MONTH_Year,Circulatory,Male,Secondary sulfate,Sensitivity model,2-day moving average,2185,729,1.6164210292988168,1.5063852132361555,1.7264568453614781,61.64210292988168,50.63852132361555,72.64568453614781,823.0826504984591,855.2243666225197
site_DOW_MONTH_Year,Circulatory,Male,"Combustion of biomass, coal and fossil fuels",Sensitivity model,2-day moving average,2163,751,1.0647100444373474,1.008536375490135,1.1208837133845597,6.47100444373474,0.8536375490135084,12.088371338455971,905.7411223777988,938.0909619401477
site_DOW_MONTH_Year,Cardiorespiratory,All,Mineral dust and soil ressuspension,Primary model,3-day moving average,7937,2687,1.3431141516402625,1.3041824373533049,1.3820458659272201,34.31141516402625,30.418243735330485,38.20458659272201,4114.550749255079,4155.824013515387
site_DOW_MONTH_Year,Cardiorespiratory,All,Aged sea salt,Primary model,3-day moving average,7941,2683,1.6347785108310389,1.5587948174049455,1.7107622042571322,63.477851083103886,55.879481740494555,71.07622042571322,2532.9772235544165,2574.240059507396
site_DOW_MONTH_Year,Cardiorespiratory,All,Secondary nitrate,Primary model,3-day moving average,7963,2661,1.008981079532466,0.9773062600477398,1.0406558990171924,0.8981079532466074,-2.2693739952260206,4.065589901719235,4528.43573872466,4569.640939621504
site_DOW_MONTH_Year,Cardiorespiratory,All,Fresh sea salt mixed with aged emissions,Primary model,3-day moving average,7965,2659,1.1042368961824933,1.0708362907770301,1.1376375015879565,10.423689618249332,7.083629077703013,13.763750158795652,5762.783736970065,5803.983674708766
site_DOW_MONTH_Year,Cardiorespiratory,All,Industrial emissions,Primary model,3-day moving average,7960,2664,1.1619834168580363,1.1242064609315938,1.1997603727844788,16.19834168580363,12.420646093159382,19.976037278447876,4013.985363764309,4055.198451985931
site_DOW_MONTH_Year,Cardiorespiratory,All,Secondary sulfate,Primary model,3-day moving average,7954,2670,1.3830051351011827,1.3419627251517767,1.4240475450505887,38.30051351011827,34.196272515177675,42.404754505058875,4968.661978018117,5009.890814277877
site_DOW_MONTH_Year,Cardiorespiratory,All,"Combustion of biomass, coal and fossil fuels",Primary model,3-day moving average,7950,2674,1.024698043792337,0.9968339938269767,1.0525620937576972,2.4698043792336977,-0.3166006173023317,5.256209375769716,4819.633863124781,4860.873178428414
site_DOW_MONTH_Year,Cardiorespiratory,Male,Mineral dust and soil ressuspension,Sensitivity model,3-day moving average,4349,1460,1.3515177833700216,1.2997784510444272,1.403257115695616,35.151778337002156,29.977845104442725,40.3257115695616,2131.5326684952715,2168.5360104981883
